Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PrimaryTemp,BPOM
Whiskey Barrel Sour Stout,American Stout,12,71.92,1.061,1.022,5.21,8.38,34.55,83.28,60,1.053,70.0,1.5,Specific Gravity,All Grain,1.5,5
Pliney The Elder Clone,American IPA,7,41.64,1.073,1.0170000000000001,7.33,78.95,5.37,53.0,60,1.057,70.0,1.5,Specific Gravity,All Grain,1.5,2
Belgian Single,Belgian Pale Ale,24,23.0,1.045,1.01,4.52,46.02,3.1,28.5,60,1.036,65.0,2.8,Specific Gravity,All Grain,2.8,2
Dawson Kriek,Fruit Lambic,77,18.93,1.052,1.012,5.25,18.47,3.9,28.39,70,1.035,70.0,2.0,Specific Gravity,All Grain,2.0,2
Black Porter,American Porter,11,41.64,1.06,1.018,5.5,26.55,39.25,49.21,60,1.051,79.0,1.1,Specific Gravity,All Grain,1.1,5
Angry August IPA (spring peeper modified)...,American IPA,7,22.71,1.051,1.012,5.11,130.02,8.43,30.28,60,1.038,65.0,1.5,Specific Gravity,All Grain,1.5,2
IPA,American IPA,7,23.66,1.004,1.001,0.42,0.0,0.64,30.28,60,1.003,72.0,1.25,Specific Gravity,All Grain,1.25,1
Belgian Pecan Porter,Robust Porter,129,20.82,1.081,1.02,7.96,51.64,35.58,28.39,60,1.0590000000000002,75.0,1.5,Specific Gravity,All Grain,1.5,5
Pellet Stove Winter Warmer,Holiday/Winter Special Spiced Beer,85,20.82,1.0590000000000002,1.016,5.61,43.36,20.56,28.39,60,1.043,70.0,1.5,Specific Gravity,All Grain,1.5,2
Awesome Recipe,Irish Red Ale,92,56.78,1.061,1.0170000000000001,5.69,0.0,20.54,75.71,60,1.046,70.0,1.5,Specific Gravity,All Grain,1.5,2
WIP: IPH,Weizen/Weissbier,170,22.71,1.0490000000000002,1.012,4.78,85.29,5.1,28.39,65,1.0390000000000001,73.0,1.5,Specific Gravity,All Grain,1.5,2
Two hearted cheat,American IPA,7,22.71,1.071,1.02,6.7,82.22,12.0,26.5,75,1.061,80.0,0.75,Specific Gravity,All Grain,0.75,2
Pliny The Elder,American IPA,7,22.71,1.0759999999999998,1.012,8.44,259.62,6.33,28.39,90,1.061,80.0,2.0243738248981953,Specific Gravity,All Grain,2.0243738248981953,3
Base Camp Stout,American Stout,12,17.03,1.091,1.02,9.34,8.65,50.0,28.39,150,1.0490000000000002,76.0,1.8763916786226682,Specific Gravity,BIAB,1.8763916786226682,6
After Midnight,Foreign Extra Stout,72,20.82,1.084,1.023,7.99,67.86,39.56,27.44,60,1.063,80.0,1.85,Specific Gravity,All Grain,1.85,5
ORo 1664,American Wheat or Rye Beer,15,25.0,1.053,1.011,5.45,21.36,5.12,28.75,90,1.046,75.0,3.0,Specific Gravity,All Grain,3.0,2
Awesome Recipe,American IPA,7,9.46,1.061,1.018,5.54,46.66,7.74,17.03,60,1.034,2.0,2.0243738248981953,Specific Gravity,extract,2.0243738248981953,2
Brown Motha' Fugga',American Brown Ale,6,20.82,1.0959999999999999,1.024,9.43,27.37,32.3,11.36,60,1.176,35.0,1.9293349131121658,Specific Gravity,extract,1.9293349131121658,6
5 Gal Bucksnort Brown Ale (Extract),American Light Lager,9,20.82,1.052,1.013,5.13,0.0,23.43,11.36,60,1.095,75.0,2.1850179985601157,Specific Gravity,Partial Mash,2.1850179985601157,2
Chocolate Porter 01,Brown Porter,37,11.36,1.057,1.015,5.65,60.02,28.66,15.14,90,1.043,74.0,1.5,Specific Gravity,All Grain,1.5,5
Vanilla Bourbon Winter Ale,American Amber Ale,4,18.93,1.045,1.011,4.42,28.27,18.68,7.57,60,1.112,75.0,2.1336110307414087,Specific Gravity,All Grain,2.1336110307414087,2
Bourbon Baby,Scottish Light,140,20.82,1.051,1.012,5.16,26.91,25.82,28.39,60,1.037,70.0,1.55,Specific Gravity,All Grain,1.55,5
Generic ESB,Strong Bitter,159,10.0,1.043,1.011,4.19,40.02,15.44,13.0,60,1.033,70.0,2.3818980263157896,Specific Gravity,BIAB,2.3818980263157896,2
Bass Section IPA IV,American IPA,7,41.64,1.056,1.011,5.92,139.42,15.64,51.1,60,1.046,70.0,1.25,Specific Gravity,All Grain,1.25,2
IIPA - Imperial India Pale Ale,Double IPA,56,54.89,1.068,1.015,6.92,177.94,12.06,68.14,90,1.055,69.0,1.5,Specific Gravity,All Grain,1.5,2
Head First Copper King Red Ale,American Amber Ale,4,37.85,1.064,1.013,6.79,46.16,11.23,49.21,90,1.0490000000000002,75.0,1.4,Specific Gravity,All Grain,1.4,2
Newborn Hazy IPA,American IPA,7,41.64,1.075,1.023,6.77,60.22,5.71,45.42,60,1.069,70.0,1.5,Specific Gravity,All Grain,1.5,2
Squirrel nutz 2,American Brown Ale,6,35.96,1.069,1.023,6.06,40.04,26.44,28.39,75,1.088,80.0,1.5,Specific Gravity,All Grain,1.5,5
PB Porter,Brown Porter,37,28.39,1.083,1.024,7.75,96.27,45.95,32.18,60,1.073,90.0,1.5,Specific Gravity,All Grain,1.5,5
Bohemian pilsner,Bohemian Pilsener,31,75.71,1.062,1.0170000000000001,5.93,20.12,4.57,81.39,90,1.058,80.0,1.5,Specific Gravity,All Grain,1.5,2
Shop Smart  Shop S-Mart,American Wheat Beer,14,20.82,1.067,1.016,6.77,102.37,4.82,28.39,60,1.0490000000000002,70.0,1.5,Specific Gravity,All Grain,1.5,2
Jalapeño Saison,Saison,134,21.77,1.058,1.01,6.22,36.68,5.41,26.5,75,1.047,75.0,1.33,Specific Gravity,All Grain,1.33,2
BOO!!!   aka  Big Ol' Octoberfest,Oktoberfest/Märzen,115,20.82,1.07,1.018,6.91,41.2,9.8,26.5,60,1.0561625926065723,75.0,1.7476525821596247,Specific Gravity,All Grain,1.7476525821596247,2
FPPA,American Pale Ale,10,18.93,1.065,1.016,6.37,43.11,5.01,26.5,60,1.046,70.0,1.15,Specific Gravity,All Grain,1.15,2
Bitchen Bitter,Strong Bitter,159,11.36,1.058,1.015,5.74,22.69,9.71,13.25,60,1.05,35.0,2.3818980263157896,Specific Gravity,extract,2.3818980263157896,2
Oatel California,American Pale Ale,10,20.82,1.07,1.018,6.83,68.86,5.37,28.39,60,1.051,70.0,2.2804632561436686,Specific Gravity,BIAB,2.2804632561436686,2
Milk Stout,Sweet Stout,162,18.93,1.055,1.02,4.64,22.51,36.94,17.03,60,1.055,65.0,2.0088648111332006,Specific Gravity,Partial Mash,2.0088648111332006,5
Stone Pale Ale Clone,American Pale Ale,10,37.85,1.045,1.005,5.21,0.0,14.13,45.42,60,1.0365439035861774,75.0,2.2804632561436686,Specific Gravity,All Grain,2.2804632561436686,2
Awesome Recipe,American Pale Ale,10,18.93,1.0590000000000002,1.0170000000000001,5.59,46.41,7.14,18.93,60,1.0590000000000002,80.0,2.2804632561436686,Specific Gravity,All Grain,2.2804632561436686,2
Imperial RyePA,Specialty IPA: Rye IPA,151,20.82,1.069,1.012,7.53,64.48,5.64,27.44,90,1.052,62.0,1.9418509615384616,Specific Gravity,BIAB,1.9418509615384616,2
Winter wolf warmer,Russian Imperial Stout,132,17.03,1.0979999999999999,1.022,9.89,79.29,39.71,9.46,60,1.110454165857123,70.0,1.8851853932584286,Specific Gravity,Partial Mash,1.8851853932584286,6
Bakke brygg 55 liter amber,American Amber Ale,4,55.0,1.052,1.01,5.44,37.21,11.62,65.0,60,1.044,68.0,3.0,Specific Gravity,All Grain,3.0,2
Nor' Easter IPA,American IPA,7,20.82,1.074,1.015,7.74,98.52,4.71,28.39,60,1.054,70.0,1.5,Specific Gravity,All Grain,1.5,2
Pale Ale,English IPA,65,24.61,1.047,1.01,4.88,49.91,8.75,28.39,60,1.041,63.0,1.6,Specific Gravity,All Grain,1.6,2
Blood Red,Imperial IPA,86,25.0,1.052,1.01,5.54,41.57,15.84,18.0,60,1.072,60.0,1.808331280788176,Specific Gravity,All Grain,1.808331280788176,2
Zehnpfennig Alt,Altbier,1,18.93,1.051,1.012,5.16,43.2,14.67,24.61,60,1.0390000000000001,70.0,1.25,Specific Gravity,All Grain,1.25,2
Awesome Recipe,English IPA,65,37.85,1.056,1.013,5.72,19.85,17.1,47.32,60,1.045,75.0,1.5,Specific Gravity,All Grain,1.5,2
Mosaic SMASH,American IPA,7,24.61,1.074,1.015,7.65,124.65,4.59,29.34,75,1.062,70.0,1.2,Specific Gravity,All Grain,1.2,2
American Honey Ale,American Amber Ale,4,18.93,1.0590000000000002,1.014,5.9,48.44,3.99,15.14,60,1.0693389117097771,75.0,2.1336110307414087,Specific Gravity,extract,2.1336110307414087,2
Double Down,American IPA,7,28.0,1.06,1.01,6.51,53.04,9.94,25.0,60,1.067,73.0,2.0243738248981953,Specific Gravity,BIAB,2.0243738248981953,2
Mac's - King Shaka Azacca IPA,American IPA,7,11.36,1.075,1.014,7.99,63.76,9.47,15.14,60,1.056,72.0,2.0243738248981953,Specific Gravity,BIAB,2.0243738248981953,2
Black Hefe,American Light Lager,9,11.36,1.056,1.014,5.51,28.23,27.97,15.14,60,1.042,84.0,2.1850179985601157,Specific Gravity,BIAB,2.1850179985601157,5
Bream Brown Ale,Northern English Brown,113,18.93,1.0490000000000002,1.014,4.6,25.95,20.24,24.61,60,1.037,80.0,1.25,Specific Gravity,All Grain,1.25,2
Belgian White,Witbier,175,18.93,1.055,1.013,5.47,7.1,3.97,1.89,60,1.5,70.0,1.4,Specific Gravity,All Grain,1.4,2
El Dorado Session IPA,American IPA,7,87.06,1.045,1.011,4.48,36.05,6.12,105.99,60,1.037,70.0,1.25,Specific Gravity,All Grain,1.25,2
Schitzengiggles,Munich Dunkel,108,499.67,1.054,1.012,5.51,26.42,17.73,526.17,60,1.051,80.0,1.5,Specific Gravity,All Grain,1.5,2
Pineapple Chardonnay Sour,Saison,134,22.71,1.053,1.0090000000000001,5.73,33.81,4.63,26.5,60,1.045,70.0,2.037900446144041,Specific Gravity,All Grain,2.037900446144041,2
Gruppy's IPA,American IPA,7,22.71,1.0659999999999998,1.011,7.15,61.31,4.42,28.39,60,1.052,85.0,1.5,Specific Gravity,All Grain,1.5,2
Gumballhead,American Wheat or Rye Beer,15,20.82,1.057,1.0170000000000001,5.25,26.59,6.21,28.39,60,1.042,70.0,1.5,Specific Gravity,All Grain,1.5,2
Monkey Weiss,Weizen/Weissbier,170,25.0,1.031,1.004,3.55,16.41,2.29,38.0,60,1.02,70.0,3.6,Specific Gravity,All Grain,3.6,2
