Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PrimaryTemp,BPOM
Imperial IPA #4,American IPA,7,20.82,1.082,1.025,7.45,33.37,7.51,24.61,60,1.07,75.0,1.5,Specific Gravity,All Grain,1.5,2
That's My Pliny,Imperial IPA,86,22.71,1.072,1.02,6.82,102.73,6.33,32.18,90,1.051,70.0,1.375,Specific Gravity,All Grain,1.375,2
Rye saison,California Common Beer,39,22.71,1.071,1.014,7.48,33.22,13.57,30.28,60,1.053,75.0,1.4,Specific Gravity,All Grain,1.4,2
106 Bozark wheat,American Wheat or Rye Beer,15,21.96,1.053,1.0090000000000001,5.88,36.25,4.17,30.28,90,1.0390000000000001,65.0,1.70597609561753,Specific Gravity,All Grain,1.70597609561753,2
Simple Sour,Weissbier,169,19.0,1.044,1.011,4.36,10.33,3.29,19.0,60,1.044,35.0,2.677646655231561,Specific Gravity,extract,2.677646655231561,2
India Rye Lager 2,Premium American Lager,124,19.87,1.055,1.014,5.34,72.91,4.41,27.44,60,1.04,70.0,1.5,Specific Gravity,All Grain,1.5,2
Tribute to the dunes version 2,Belgian Dubbel,22,18.93,1.075,1.015,7.94,32.66,16.62,26.5,90,1.054,70.0,2.1172939189189193,Specific Gravity,BIAB,2.1172939189189193,2
Simcoe Pale Ale,American Pale Ale,10,22.71,1.0490000000000002,1.012,4.88,38.87,5.61,28.39,90,1.0390000000000001,70.0,1.5,Specific Gravity,All Grain,1.5,2
Even More Jesus,Imperial Stout,87,20.0,1.1059999999999999,1.028,10.23,57.82,50.0,28.5,90,1.075,80.0,3.0,Specific Gravity,All Grain,3.0,6
Kern,Saison,134,24.61,1.055,1.016,5.2,28.85,3.23,30.28,90,1.045,70.0,1.5,Specific Gravity,All Grain,1.5,2
RFH IPA v1,American IPA,7,19.0,1.069,1.021,6.23,75.07,12.28,23.0,60,1.057,70.0,2.0243738248981953,Specific Gravity,All Grain,2.0243738248981953,2
Christmas Eve Nightcap,Winter Seasonal Beer,174,3.79,1.052,1.013,5.16,12.44,26.04,3.79,60,1.052,35.0,1.970217391304347,Specific Gravity,extract,1.970217391304347,5
Lupuleros Schwarzbier,Schwarzbier,135,37.85,1.048,1.008,5.27,24.31,26.03,43.91,60,1.042,80.0,1.5,Specific Gravity,All Grain,1.5,5
Hopped and Popped,American IPA,7,17.03,1.0590000000000002,1.016,5.66,68.94,6.56,20.44,30,1.0490000000000002,62.0,1.6,Specific Gravity,All Grain,1.6,2
Hefeweizen (Wheat Light Beer),Weizen/Weissbier,170,20.0,1.053,1.015,5.0,11.5,3.9,22.0,80,1.048,78.0,4.65,Specific Gravity,All Grain,4.65,2
#snowzilla (extract),American IPA,7,18.93,1.057,1.014,5.62,43.58,8.11,11.36,60,1.025,35.0,2.0243738248981953,Specific Gravity,extract,2.0243738248981953,2
Magic Hat Jinx,Scottish Export 80/-,137,18.93,1.067,1.014,6.98,22.94,13.71,15.14,90,1.084,75.0,1.818035714285714,Specific Gravity,All Grain,1.818035714285714,2
Summer Blonde,Blonde Ale,30,20.82,1.053,1.012,5.34,23.93,5.53,28.39,60,1.037283884767782,70.0,2.2130735220729356,Specific Gravity,All Grain,2.2130735220729356,2
Ray Kölsch,Kölsch,94,18.0,1.048,1.0090000000000001,5.15,26.17,3.83,19.0,60,1.045,70.0,3.3,Specific Gravity,All Grain,3.3,2
Max Chasing Bike Blake Barking IPA,American IPA,7,37.85,1.075,1.021,7.07,400.37,5.14,41.64,60,1.0710935449248886,70.0,2.0243738248981953,Specific Gravity,Partial Mash,2.0243738248981953,2
RIS,Imperial Stout,87,13.25,1.102,1.0190000000000001,10.82,101.37,46.45,18.93,60,1.071,60.0,1.8478668171557562,Specific Gravity,BIAB,1.8478668171557562,6
Test to determine a brewers question,American IPA,7,5.0,1.072,1.018,7.07,57.27,7.59,8.1,60,1.044,78.0,3.0,Specific Gravity,All Grain,3.0,2
Red Cara Ale,Irish Red Ale,92,38.0,1.051,1.011,5.23,10.27,13.95,35.0,60,1.055,70.0,3.1,Specific Gravity,All Grain,3.1,2
Srygley/Arnold Down Under IPA,American IPA,7,20.82,1.073,1.018,7.17,74.59,8.96,28.39,90,1.0540434321599153,75.0,2.0243738248981953,Specific Gravity,All Grain,2.0243738248981953,2
Galaxy Extra Pale Ale,California Common Beer,39,18.93,1.057,1.0170000000000001,5.26,29.63,4.22,22.71,90,1.047,70.0,1.25,Specific Gravity,All Grain,1.25,2
Trigo  aveia  centeio e muito citra,American IPA,7,28.0,1.04,1.0070000000000001,4.38,44.0,4.63,33.0,60,1.034,70.0,2.5,Specific Gravity,All Grain,2.5,2
APA version 1,American Pale Ale,10,25.0,1.048,1.0090000000000001,5.15,22.8,5.78,25.0,60,1.048,70.0,2.2804632561436686,Specific Gravity,extract,2.2804632561436686,2
Dry Mead #1,Dry Mead,57,10.0,1.105,1.023,10.76,0.0,4.5,10.0,60,1.105,75.0,3.0,Specific Gravity,All Grain,3.0,3
CASCADE FLOWER ALE,American Light Lager,9,21.0,1.042,1.011,4.16,0.0,5.08,28.5,60,1.031,70.0,5.0,Specific Gravity,All Grain,5.0,2
House #01 - Hanson Hus Saison,Saison,134,20.82,1.053,1.016,4.91,26.54,2.68,22.71,60,1.0490000000000002,25.0,2.037900446144041,Specific Gravity,extract,2.037900446144041,2
Weisse 01/17,Weissbier,169,21.0,1.0490000000000002,1.012,4.79,13.07,3.88,13.0,60,1.079,35.0,2.677646655231561,Specific Gravity,extract,2.677646655231561,2
Peated porter,Robust Porter,129,18.93,1.061,1.015,6.01,50.6,36.43,24.61,60,1.047,35.0,1.9681428571428576,Specific Gravity,extract,1.9681428571428576,5
Black Savage Stout,American Stout,12,22.71,1.054,1.015,5.11,71.28,46.53,27.52,90,1.044,55.0,1.5,Specific Gravity,All Grain,1.5,5
Wry Kölsch,Kölsch,94,41.64,1.05,1.015,4.61,30.01,3.47,49.21,60,1.043,68.0,3.1,Specific Gravity,All Grain,3.1,2
Session IPA,American IPA,7,19.87,1.045,1.008,4.75,32.56,5.5,23.66,60,1.038,75.0,1.5,Specific Gravity,All Grain,1.5,2
OLD RASPUTIN,Imperial Stout,87,20.82,1.099,1.018,10.58,101.14,34.74,25.55,60,1.081,75.0,1.8478668171557562,Specific Gravity,BIAB,1.8478668171557562,6
Not Normal - Wheat APA,Weissbier,169,18.93,1.0590000000000002,1.01,6.33,99.28,6.51,23.92,60,1.046,70.0,2.677646655231561,Specific Gravity,BIAB,2.677646655231561,2
Densmore's Pale,American Pale Ale,10,20.82,1.048,1.013,4.59,38.3,5.21,11.36,60,1.089,25.0,2.2804632561436686,Specific Gravity,extract,2.2804632561436686,2
Tom's Pale,American Pale Ale,10,20.82,1.048,1.0090000000000001,5.06,36.32,6.07,28.39,60,1.035,70.0,1.5,Specific Gravity,All Grain,1.5,2
Base Belgian Blonde (3B),Belgian Blond Ale,20,20.82,1.06,1.014,6.07,22.79,7.62,26.5,90,1.047,70.0,1.4,Specific Gravity,All Grain,1.4,2
Tempe Closet DunkelWeizen,Dunkles Weissbier,61,20.82,12.8143,3.22808,5.14,20.15,15.34,26.5,60,10.2,70.0,1.25,Plato,All Grain,1.25,2
Tripel / Allagash Curieux,Belgian Tripel,26,20.82,1.093,1.0190000000000001,9.69,31.68,4.31,26.5,90,1.073,75.0,1.25,Specific Gravity,All Grain,1.25,3
Garcipa,American IPA,7,11.36,1.042,1.011,4.08,0.0,2.67,11.36,60,1.042,35.0,2.0243738248981953,Specific Gravity,extract,2.0243738248981953,2
Hoppy Days IPAYYYEEE,American IPA,7,22.71,1.0859999999999999,1.022,8.4,252.31,6.87,28.39,60,1.069,70.0,1.25,Specific Gravity,All Grain,1.25,3
Merlin  a Berliner,Berliner Weisse,27,21.0,1.03,1.0070000000000001,3.08,6.17,3.16,28.0,60,1.023,70.0,2.0794583333333336,Specific Gravity,BIAB,2.0794583333333336,2
German Pilsner,German Pilsner (Pils),81,25.0,1.041,1.01,4.02,30.95,4.78,28.0,60,1.036,60.0,3.0,Specific Gravity,All Grain,3.0,2
Summertime Kölsch,Kölsch,94,20.82,1.056,1.013,5.65,31.24,4.33,30.28,120,1.038,75.0,1.5,Specific Gravity,All Grain,1.5,2
Summer Ale,British Golden Ale,35,21.0,1.0390000000000001,1.008,4.01,27.66,5.09,27.1,60,1.03,72.0,2.789354838709678,Specific Gravity,BIAB,2.789354838709678,2
150415 Riskulla pilsner,Premium American Lager,124,30.0,1.052,1.012,5.3,20.48,5.3,33.0,70,1.048,90.0,3.0,Specific Gravity,All Grain,3.0,2
Funky Butt Lovin',American IPA,7,21.77,1.062,1.011,6.67,53.19,5.16,27.44,60,1.0490000000000002,66.0,1.3,Specific Gravity,All Grain,1.3,2
Mutt honey Wheat,California Common Beer,39,20.82,1.058,1.016,5.45,43.83,8.29,28.39,60,1.0415430673559873,70.0,2.0911964601769917,Specific Gravity,BIAB,2.0911964601769917,2
Sorgham Whiskey,American Light Lager,9,20.82,1.1179999999999999,1.0270000000000001,11.94,0.0,3.92,28.39,60,1.087,35.0,1.5,Specific Gravity,All Grain,1.5,3
Hurrican Saison,Saison,134,13.25,1.0590000000000002,1.011,6.36,26.5,8.27,17.03,65,1.0487671511510293,66.0,2.037900446144041,Specific Gravity,All Grain,2.037900446144041,2
Punk Ass Pumpkin Ale,American Pale Ale,10,37.85,1.058,1.004,7.07,0.0,9.39,45.42,60,1.047301789740327,75.0,2.2804632561436686,Specific Gravity,All Grain,2.2804632561436686,2
Black Butte Clone,American Porter,11,22.71,1.055,1.018,4.79,28.34,30.09,11.36,60,1.11,35.0,1.8946646706586827,Specific Gravity,extract,1.8946646706586827,5
I Did It Pale Ale,American Pale Ale,10,18.93,1.053,1.01,5.61,39.59,6.63,26.5,90,1.038,78.0,2.2804632561436686,Specific Gravity,All Grain,2.2804632561436686,2
Barefoot Amarillo by Morning - DIY BrewHouse...,American Pale Ale,10,20.82,1.051,1.011,5.22,48.23,7.2,25.55,60,1.042,70.0,1.3,Specific Gravity,All Grain,1.3,2
Episode 009 - Edwort's Haus Pale Ale,American Pale Ale,10,18.93,1.054,1.012,5.62,44.76,4.79,26.5,60,1.0390000000000001,70.0,2.2804632561436686,Specific Gravity,BIAB,2.2804632561436686,2
Pale Powder (CryoHop) IPA,American Pale Ale,10,11.36,1.062,1.0170000000000001,5.9,93.93,8.66,7.57,60,1.092,35.0,2.2804632561436686,Specific Gravity,extract,2.2804632561436686,2
HALLOW1,American Amber Ale,4,28.39,1.058,1.015,5.66,34.7,19.65,41.64,60,1.0390000000000001,70.0,1.5,Specific Gravity,All Grain,1.5,2
Belgian Blonde,Belgian Blond Ale,20,20.82,1.072,1.021,6.58,22.73,4.09,13.25,60,1.113,35.0,2.331506237942122,Specific Gravity,extract,2.331506237942122,2
Rye IPA (Muir Woods Competition),Specialty IPA: Rye IPA,151,3.79,1.056,1.0070000000000001,6.43,59.36,4.39,6.62,60,1.032,61.0,1.5,Specific Gravity,All Grain,1.5,2
Stiles APA  (Big Ron's Brew),American Pale Ale,10,20.82,1.047,1.01,4.86,31.94,6.25,26.5,60,1.0368586229799435,70.0,2.2804632561436686,Specific Gravity,All Grain,2.2804632561436686,2
Southern Breakfast Mk II,Mild,105,22.71,1.036,1.012,3.24,9.49,22.49,26.5,60,1.031,70.0,2.1,Specific Gravity,All Grain,2.1,2
Awesome Recipe,American Pale Ale,10,23.0,1.047,1.012,4.6,43.06,3.88,26.5,60,1.041,85.0,3.0,Specific Gravity,All Grain,3.0,2
BeHold A pale ale,American Pale Ale,10,20.82,1.05,1.0090000000000001,5.4,33.71,5.53,24.61,60,1.042,75.0,1.33,Specific Gravity,All Grain,1.33,2
Russian River - Row 2 Hill 56 Clone,American Pale Ale,10,22.0,1.053,1.013,5.23,62.28,8.25,27.0,60,1.043,75.0,3.3,Specific Gravity,All Grain,3.3,2
Regen 1 IPA,American IPA,7,18.93,1.072,1.013,7.74,97.24,6.57,28.39,60,1.048,70.0,1.25,Specific Gravity,All Grain,1.25,2
Krampus,Sweet Stout,162,18.93,1.062,1.014,6.32,26.31,47.36,28.39,60,1.042,70.0,1.5,Specific Gravity,All Grain,1.5,5
Fläderöl 10l,Special/Best/Premium Bitter,144,10.0,1.045,1.0090000000000001,4.74,34.7,5.44,14.0,70,1.032,70.0,2.0,Specific Gravity,All Grain,2.0,2
English ESB,Strong Bitter,159,22.0,1.064,1.0190000000000001,5.95,47.46,8.34,30.0,60,1.047,74.0,3.5,Specific Gravity,All Grain,3.5,2
Mosaic Covenant DIPA,American IPA,7,20.82,1.075,1.0190000000000001,7.42,0.0,4.65,28.39,60,1.055,70.0,1.5,Specific Gravity,All Grain,1.5,2
Single-hop Centennial Double IPA,Double IPA,56,48.0,1.077,1.012,8.95,113.96,6.3,53.1,90,1.0590000000000002,72.0,4.0,Specific Gravity,All Grain,4.0,3
1st try Daniel,American Light Lager,9,13.0,1.075,1.0170000000000001,7.55,53.07,4.16,10.0,60,1.097,80.0,2.1850179985601157,Specific Gravity,extract,2.1850179985601157,2
80'S Reef,Scottish Export,136,14.0,14.0686,3.35641,5.95,25.31,15.89,23.0,70,8.7,70.0,2.0,Plato,All Grain,2.0,2
Awesome Recipe,Oktoberfest/Märzen,115,18.93,1.055,1.014,5.42,24.96,9.75,11.36,90,1.092,75.0,1.7476525821596247,Specific Gravity,BIAB,1.7476525821596247,2
Redex Red Ale,Irish Red Ale,92,20.0,1.034,1.006,3.72,28.25,10.6,28.5,60,1.024,65.0,3.0,Specific Gravity,All Grain,3.0,2
Rochefort Huit,Belgian Dark Strong Ale,21,15.0,1.083,1.013,9.18,40.68,33.33,20.0,60,1.062,73.0,3.0,Specific Gravity,All Grain,3.0,6
Brewers Bout Tripel,Belgian Tripel,26,15.33,1.073,1.003,9.14,37.97,4.32,21.77,90,1.051,75.0,2.0433617021276596,Specific Gravity,BIAB,2.0433617021276596,3
Shindig Hefe,Weizen/Weissbier,170,18.93,1.045,1.005,5.19,17.17,3.62,22.71,60,1.037,60.0,1.5,Specific Gravity,All Grain,1.5,2
Grisette Stone Clone,Brett Beer,33,10.22,1.064,1.013,6.75,28.21,4.79,13.25,60,1.05,70.0,1.7995238095238095,Specific Gravity,BIAB,1.7995238095238095,2
Fast &Loose IPA 1-3-16,American IPA,7,18.93,1.057,1.015,5.55,155.95,9.46,26.5,60,1.041,65.0,1.5,Specific Gravity,All Grain,1.5,2
Citra IPA,American IPA,7,19.87,1.07,1.018,6.88,51.1,9.32,23.66,60,1.0590000000000002,70.0,1.25,Specific Gravity,All Grain,1.25,2
Bakke Brygg Tsjekkisk Pilsner 28 l,Bohemian Pilsener,31,28.0,1.052,1.013,5.1,41.99,3.58,32.0,90,1.046,72.0,2.605132701421802,Specific Gravity,All Grain,2.605132701421802,2
Tye dye,American Pale Ale,10,18.93,1.047,1.01,4.8,23.6,3.11,24.61,60,1.036,80.0,2.2804632561436686,Specific Gravity,BIAB,2.2804632561436686,2
Standard Pale Ale,American Pale Ale,10,26.5,1.048,1.008,5.13,38.11,5.76,26.5,60,1.048,80.0,1.5,Specific Gravity,All Grain,1.5,2
IPL #1,International Amber Lager,88,26.5,1.05,1.012,5.05,77.19,6.85,29.9,60,1.044,70.0,2.5,Specific Gravity,All Grain,2.5,2
Capreta,Specialty IPA: Black IPA,148,37.0,1.06,1.011,6.42,75.49,39.33,50.0,60,1.045,60.0,1.5,Specific Gravity,All Grain,1.5,5
Marco's Celibration IPA,American IPA,7,21.0,1.073,1.014,7.79,40.87,15.38,28.0,60,1.055,75.0,3.0,Specific Gravity,All Grain,3.0,2
Tripel A,Belgian Tripel,26,13.5,1.062,1.005,7.49,32.39,4.85,28.5,60,1.0290000000000001,61.0,3.5,Specific Gravity,All Grain,3.5,2
2017 Brewers Challenge Tripel XXX,Belgian Tripel,26,17.98,1.08,1.012,8.86,31.44,4.82,22.71,60,1.063,70.0,1.5,Specific Gravity,All Grain,1.5,3
Alaska Malamut,American IPA,7,35.0,1.085,1.016,9.05,55.77,3.9,35.0,90,1.085,35.0,2.0243738248981953,Specific Gravity,extract,2.0243738248981953,3
ALLIGATOR,American Strong Ale,13,15.2,1.0659999999999998,1.015,6.69,51.29,7.41,21.0,80,1.048,75.0,3.0,Specific Gravity,All Grain,3.0,2
Mild Mannered,Mild,105,39.75,1.032,1.0090000000000001,2.96,13.26,16.21,43.53,60,1.0290000000000001,85.0,1.4,Specific Gravity,All Grain,1.4,2
Pumpkin Pie Ale,Spice  Herb  or Vegetable Beer,155,23.47,1.064,1.016,6.33,0.0,12.97,26.5,60,1.0585382019640575,75.0,1.25,Specific Gravity,All Grain,1.25,2
CM Wit,Witbier,175,25.0,1.05,1.0090000000000001,5.41,16.75,3.05,32.0,90,1.0390000000000001,80.0,2.5,Specific Gravity,All Grain,2.5,2
Kales Last Christmas,Holiday/Winter Special Spiced Beer,85,41.64,1.077,1.0190000000000001,7.54,34.88,27.71,49.21,60,1.065,85.0,1.2,Specific Gravity,All Grain,1.2,5
Oktoberfest,Oktoberfest/Märzen,115,11.85,1.052,1.011,5.33,24.05,10.07,18.93,90,1.032,75.0,1.5,Specific Gravity,All Grain,1.5,2
Du Hast Mich,German Pils,80,26.5,1.048,1.01,4.94,34.06,2.98,33.69,60,1.038,75.0,2.031959677419355,Specific Gravity,BIAB,2.031959677419355,2
Triple B - Bourbon Barrel Barley Wine,American Barleywine,5,18.93,1.102,1.023,10.33,54.02,16.61,28.39,120,1.068,70.0,1.25,Specific Gravity,All Grain,1.25,3
3726 - Big Bad Wolf,Saison,134,25.0,1.055,1.0070000000000001,6.37,30.11,3.47,35.0,90,1.036,80.0,2.037900446144041,Specific Gravity,BIAB,2.037900446144041,2
Holiday Ale,Holiday/Winter Special Spiced Beer,85,18.93,1.069,1.015,7.03,28.33,29.59,15.14,60,1.044,65.0,2.509152317880795,Specific Gravity,Partial Mash,2.509152317880795,5
Wee Heavy,Wee Heavy,168,23.0,1.0759999999999998,1.02,7.31,34.32,20.39,27.0,60,1.065,64.0,2.050208333333333,Specific Gravity,All Grain,2.050208333333333,2
Punk IPA pre 2010,American IPA,7,26.0,1.067,1.015,6.83,72.22,4.68,38.0,60,1.046,75.0,3.4,Specific Gravity,All Grain,3.4,2
Russian River APA,American Pale Ale,10,28.0,1.046,1.01,4.66,39.78,5.14,32.0,60,1.04,70.0,2.5,Specific Gravity,All Grain,2.5,2
Extra Special / Strong beer,Extra Special/Strong Bitter (ESB),68,20.82,13.3018,3.7110800000000004,5.16,45.01,9.6,28.39,60,9.9,79.0,1.5,Plato,All Grain,1.5,2
Citra/Mosaic Pale,American IPA,7,9.46,1.067,1.012,7.27,76.94,6.11,15.14,60,1.042,70.0,2.0243738248981953,Specific Gravity,BIAB,2.0243738248981953,2
Vienna/Pilsner,German Pils,80,8.52,1.056,1.013,5.66,28.63,4.49,13.25,60,1.036,85.0,2.031959677419355,Specific Gravity,BIAB,2.031959677419355,2
IPA Eisenbahn,American IPA,7,20.0,1.064,1.012,6.81,75.87,17.56,28.5,60,1.045,75.0,3.0,Specific Gravity,All Grain,3.0,2
Tessa Session,American Pale Ale,10,25.0,1.043,1.0070000000000001,4.75,40.26,14.4,30.5,60,1.036,60.0,4.0,Specific Gravity,All Grain,4.0,2
Vanilla Almond Nut Brown,Specialty Beer,145,18.93,1.054,1.014,5.35,60.57,17.42,24.61,60,1.042,64.0,2.0,Specific Gravity,All Grain,2.0,2
Takomo Oatmeal Milk Stout II,Sweet Stout,162,77.0,1.064,1.022,5.48,21.73,37.51,85.0,60,1.058,76.0,2.5,Specific Gravity,All Grain,2.5,5
BBB,Best Bitter,28,1000.0,1.048,1.012,4.67,35.38,10.57,1006.0,60,1.048,78.0,2.5,Specific Gravity,All Grain,2.5,2
Dry Dock Paragon Apricot Blonde,Blonde Ale,30,20.82,1.057,1.014,5.74,20.15,5.62,26.5,60,1.045,75.0,1.5,Specific Gravity,All Grain,1.5,2
DIPA V2,Double IPA,56,19.0,1.075,1.015,7.98,135.97,6.74,25.0,90,1.057,65.0,2.5,Specific Gravity,All Grain,2.5,2
Grandma's secret stash,American Light Lager,9,20.82,1.064,1.016,6.25,37.77,41.76,32.18,60,1.041,80.0,1.4,Specific Gravity,All Grain,1.4,5
Lemon Pils (S. Beatty),Czech Pale Lager,49,22.71,1.042,1.013,3.82,34.18,3.17,30.28,60,1.031,68.0,1.5,Specific Gravity,All Grain,1.5,2
Imperial Chocolate Porter,American Porter,11,20.82,1.089,1.021,8.94,62.78,42.07,28.39,60,1.065,60.0,1.25,Specific Gravity,All Grain,1.25,6
Nonesa,American Wheat Beer,14,25.0,1.053,1.012,5.38,31.66,4.06,30.0,60,1.044,70.0,3.0,Specific Gravity,All Grain,3.0,2
Belgian Pale Ale,Belgian Pale Ale,24,20.0,1.051,1.0090000000000001,5.59,19.23,9.32,10.0,60,1.044,75.0,2.259328767123288,Specific Gravity,BIAB,2.259328767123288,2
Awesome Recipe,American Light Lager,9,20.82,1.053,1.013,5.17,47.44,4.79,28.39,60,1.0390000000000001,75.0,2.1850179985601157,Specific Gravity,BIAB,2.1850179985601157,2
We Made a Beer Fruit Sour,Fruit Lambic,77,45.0,1.041,1.006,4.63,4.04,3.08,45.0,60,1.041,75.0,3.0,Specific Gravity,All Grain,3.0,2
OC Plunder IPA,American IPA,7,43.53,1.0590000000000002,1.012,6.13,46.51,6.74,47.32,60,1.054,75.0,1.25,Specific Gravity,All Grain,1.25,2
Impy Red,American Amber Ale,4,22.71,1.085,1.024,8.06,62.78,22.41,28.39,60,1.068,70.0,2.1336110307414087,Specific Gravity,All Grain,2.1336110307414087,3
Hoppy wheat,American Light Lager,9,22.71,1.044,1.011,4.44,15.98,3.82,30.28,60,1.033,68.0,1.3,Specific Gravity,All Grain,1.3,2
Cuckoo's Summer Ale 2014,American Wheat or Rye Beer,15,19.87,1.0590000000000002,1.015,5.7,33.99,5.09,13.25,60,1.088,35.0,1.70597609561753,Specific Gravity,extract,1.70597609561753,2
Wheatwine,Wheatwine,172,30.28,1.104,1.023,10.7,50.98,10.73,37.85,60,1.084,70.0,1.0,Specific Gravity,All Grain,1.0,3
(almost) Imperial Chocolate Stout,American Stout,12,22.71,1.068,1.012,7.35,57.67,43.15,28.39,60,1.054,66.0,1.5,Specific Gravity,All Grain,1.5,5
Grainfather Part Deuix,Belgian Golden Strong Ale,23,28.39,1.093,1.022,9.37,29.81,7.21,30.28,60,1.088,70.0,1.5,Specific Gravity,All Grain,1.5,3
Caser ipa,American IPA,7,20.82,1.064,1.011,6.87,81.65,9.39,28.39,60,1.047,75.0,2.0,Specific Gravity,All Grain,2.0,2
Maximus clone,American IPA,7,22.71,1.068,1.021,6.13,43.65,8.16,27.52,90,1.056,75.0,2.0243738248981953,Specific Gravity,BIAB,2.0243738248981953,2
The 5th awakening,Oatmeal Stout,114,43.53,1.065,1.016,6.42,31.37,37.84,53.0,60,1.054,75.0,2.0342862385321103,Specific Gravity,All Grain,2.0342862385321103,5
Summer Saison EKG 3g SMaSH,Saison,134,11.36,1.053,1.011,5.59,29.44,5.94,17.03,60,1.035,70.0,2.037900446144041,Specific Gravity,BIAB,2.037900446144041,2
Awesome Recipe,American Pale Ale,10,25.0,1.074,1.014,7.87,30.02,7.41,15.0,60,1.123,35.0,2.2804632561436686,Specific Gravity,extract,2.2804632561436686,2
Specialty - On the Corner,Berliner Weisse,27,18.93,1.05,1.015,4.47,0.0,3.65,20.82,60,1.045,65.0,1.25,Specific Gravity,All Grain,1.25,2
Dark - Breiss # A01,Munich Dunkel,108,12.3,1.0490000000000002,1.0090000000000001,5.22,24.56,18.64,11.36,60,1.053,35.0,2.162662721893491,Specific Gravity,extract,2.162662721893491,2
1080 Runaway Boiler,California Common Beer,39,20.82,1.054,1.013,5.46,32.5,12.44,31.42,60,1.036,65.0,2.0,Specific Gravity,All Grain,2.0,2
American Stout BCS Brewed,American Stout,12,37.85,1.072,1.014,7.58,71.8,50.0,43.53,60,1.062,75.0,2.0,Specific Gravity,All Grain,2.0,5
Trij? velni? IPA,American IPA,7,19.0,1.073,1.0170000000000001,7.36,90.01,8.76,22.0,60,1.063,70.0,2.5,Specific Gravity,All Grain,2.5,2
Oat Pale Ale,American Pale Ale,10,22.71,1.052,1.012,5.31,49.12,7.03,26.5,60,1.045,70.0,1.5,Specific Gravity,All Grain,1.5,2
IBC Belgian Pilot,Belgian Blond Ale,20,18.93,1.061,1.013,6.24,30.48,5.72,26.5,60,1.043,75.0,1.2,Specific Gravity,All Grain,1.2,2
Mother's Milk IPA,American IPA,7,21.58,1.061,1.012,6.49,42.88,4.59,18.93,30,1.07,35.0,2.0243738248981953,Specific Gravity,extract,2.0243738248981953,2
Candied Ginger-Orange Ale,American Pale Ale,10,19.87,1.048,1.0090000000000001,5.1,59.41,4.59,27.44,60,1.035,35.0,2.2804632561436686,Specific Gravity,extract,2.2804632561436686,2
I-Pier-A (2),American IPA,7,20.82,1.062,1.011,6.6,85.96,6.29,25.55,60,1.05,80.0,1.5,Specific Gravity,All Grain,1.5,2
First past the post,Blonde Ale,30,10.0,1.046,1.008,4.95,51.4,5.89,11.0,60,1.042,35.0,2.2130735220729356,Specific Gravity,extract,2.2130735220729356,2
Smoking Ship IPA,American IPA,7,20.82,1.062,1.015,6.19,0.0,9.02,28.39,75,1.045,50.0,1.5,Specific Gravity,All Grain,1.5,2
"Ciara""s pumpkin Ale 2.0",Spice  Herb  or Vegetable Beer,155,18.93,1.102,1.022,10.43,144.36,11.08,22.71,60,1.085,35.0,1.8465355805243444,Specific Gravity,Partial Mash,1.8465355805243444,3
All Hopped Up and Nowhere to Go,American IPA,7,18.93,1.067,1.02,6.15,37.94,7.26,28.39,60,1.044,70.0,1.25,Specific Gravity,All Grain,1.25,2
Bilbo's Brown,Northern English Brown,113,20.82,1.05,1.015,4.61,32.74,19.88,28.39,60,1.037,70.0,1.5,Specific Gravity,All Grain,1.5,2
64,Helles Bock,84,14.0,1.048,1.0090000000000001,5.13,37.7,7.94,20.0,60,1.034,65.0,3.0,Specific Gravity,All Grain,3.0,2
Vienna Styrian SMaSH,British Golden Ale,35,23.0,1.045,1.008,4.78,27.81,4.65,27.5,60,1.037,76.0,3.0,Specific Gravity,All Grain,3.0,2
Galaxy Tropical IPA,English IPA,65,20.82,1.064,1.018,6.08,80.57,11.35,28.39,60,1.047,70.0,1.5,Specific Gravity,All Grain,1.5,2
Winter Spiced Ale,Holiday/Winter Special Spiced Beer,85,19.87,1.068,1.02,6.34,32.68,23.53,13.25,60,1.102,35.0,2.509152317880795,Specific Gravity,extract,2.509152317880795,2
First try...,California Common Beer,39,19.87,1.057,1.016,5.4,72.27,6.06,11.36,60,1.079579420944893,75.0,2.0911964601769917,Specific Gravity,extract,2.0911964601769917,2
Straight Extract and Dry Yeast #3,American IPA,7,18.93,1.062,1.008,7.03,104.0,4.86,11.36,60,1.103,25.0,2.0243738248981953,Specific Gravity,extract,2.0243738248981953,2
Basshook IPA,American IPA,7,18.93,1.061,1.012,6.44,47.34,7.63,24.61,60,1.047,80.0,1.25,Specific Gravity,All Grain,1.25,2
Broob's Saison Hoppy,Saison,134,21.0,1.055,1.011,5.86,34.56,4.02,25.5,60,1.045,77.0,2.8,Specific Gravity,All Grain,2.8,2
D's Hoppin IPA,American IPA,7,20.82,1.057,1.011,6.01,34.5,7.51,9.46,60,1.124,100.0,2.0243738248981953,Specific Gravity,extract,2.0243738248981953,2
Viennafest,Specialty Beer,145,37.85,1.05,1.011,5.16,25.83,10.78,18.93,60,1.101,35.0,1.7723979591836736,Specific Gravity,extract,1.7723979591836736,2
